Title,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Luas Tanah,Luas Bangunan,Car Port,Price,Timestamp
Rumah 2 Lantai Type Terbaru Desain Mewah Klasik di Makassar,Makassar,4,4,252,235,2,4800000000,2025-05-15 14:01:26.080892
Dekat Akses Transportasi,Makassar,2,1,60,37,1,500000000,2025-05-15 14:01:26.081191
Jual Rumah 2 Lt Di Tengah Kota,Makassar,4,2,182,280,1,1600000000,2025-05-15 14:01:26.081484
Siap Huni,Makassar,4,3,102,204,1,1150000000,2025-05-15 14:01:26.081773
Siap Huni,Makassar,5,4,252,267,2,4600000000,2025-05-15 14:01:26.082055
"Rumah 2 Lantai, Citraland Celebes Makassar, SHM, Kondisi sangat Bagus",Makassar,3,3,16200,13000,2,3150000000,2025-05-15 14:01:26.082342
Siap Huni,Makassar,4,4,200,340,0,3600000000,2025-05-15 14:01:26.082645
Siap Huni,Makassar,3,2,112,100,1,1700000000,2025-05-15 14:01:26.082897
Dekat Sekolah,Makassar,3,2,68,84,2,968000000,2025-05-15 14:01:26.083199
Bebas Banjir,Makassar,2,1,40,72,0,399000000,2025-05-15 14:01:26.083490
Bebas Banjir,Makassar,2,1,72,40,0,399000000,2025-05-15 14:01:26.083785
Bebas Banjir,Makassar,5,3,100,90,0,950000000,2025-05-15 14:01:26.084070
Siap Huni,Makassar,4,3,115,100,1,1350000000,2025-05-15 14:01:26.084364
Jual Rumah Murah Tengah Kota Makassar,Makassar,2,1,140,120,1,800000000,2025-05-15 14:01:28.395776
Rumah 2 Lantai Type Klasik Modern di Makassar,Makassar,4,3,180,219,2,3000000000,2025-05-15 14:01:28.396093
Dekat Sekolah,Makassar,4,4,120,120,2,3900000000,2025-05-15 14:01:28.396406
Siap Huni,Makassar,4,2,72,74,0,1100000000,2025-05-15 14:01:28.396707
Siap Huni,Makassar,4,2,72,74,0,1100000000,2025-05-15 14:01:28.397010
Bebas Banjir,Makassar,2,1,40,72,1,399000000,2025-05-15 14:01:28.397323
"Rumah di Sekitar Jl Veteran, Jl Sungai Saddang, Rappocini
, Makassar",Makassar,5,4,124,200,1,1800000000,2025-05-15 14:01:28.397616
Siap Huni,Makassar,4,2,72,74,0,1100000000,2025-05-15 14:01:28.397910
Siap Huni,Makassar,4,2,72,74,0,1100000000,2025-05-15 14:01:28.398208
Dekat Akses Transportasi,Makassar,3,2,67,60,1,700000000,2025-05-15 14:01:28.398508
Dekat Sekolah,Makassar,4,2,84,96,2,1500000000,2025-05-15 14:01:28.398812
Dekat Sekolah,Makassar,4,3,180,219,2,3300000000,2025-05-15 14:01:28.399115
Dekat Sekolah,Makassar,3,3,144,163,1,2500000000,2025-05-15 14:01:28.399410
Dijual Rumah 1 1/2 Murah Aman Dan Nyaman,Makassar,4,2,98,80,0,1550000000,2025-05-15 14:01:28.399659
Dijual Rumah 2 1/2 Murah Aman Dan Nyaman,Makassar,4,3,150,100,0,1400000000,2025-05-15 14:01:28.399906
Dekat Sekolah,Makassar,5,5,180,203,0,3920000000,2025-05-15 14:01:28.400191
Siap Huni,Makassar,6,6,144,315,2,4970000000,2025-05-15 14:01:28.400489
Rumah Mewah 2 Lantai Posisi Sudut Di Citraland Celebes Hertasning,Makassar,5,4,212,168,2,3990000000,2025-05-15 14:01:28.400791
Siap Huni,Makassar,4,4,219,180,0,3000000000,2025-05-15 14:01:28.401082
Dekat Akses Transportasi,Makassar,3,2,67,60,1,788000000,2025-05-15 14:01:28.401369
Dekat Akses Transportasi,Makassar,3,1,60,48,2,615000000,2025-05-15 14:01:30.731357
Dekat Akses Transportasi,Makassar,3,3,91,84,0,1200000000,2025-05-15 14:01:30.731727
Dekat Sekolah,Makassar,4,4,219,180,0,3000000000,2025-05-15 14:01:30.732089
Siap Huni,Makassar,3,2,60,67,2,786000000,2025-05-15 14:01:30.732466
